teamFotmobId,team_name
10188,Beşiktaş
10189,Schalke 04
10190,St. Gallen
10191,Thun
10192,Young Boys
10193,Torquay United
10194,Stoke City
10195,Halifax Town
10196,Carlisle United
10197,Southport
10198,Yeovil Town
10199,Luzern
10200,Panathinaikos
10202,Nordsjælland
10203,Nottingham Forest
10204,Brighton
10205,Villarreal
10212,Marítimo
10214,Nacional
10217,ADO Den Haag
10218,Excelsior
10219,RKC Waalwijk
10224,Lyn
10225,Assyriska
10228,Heerenveen
10229,AZ
10233,Genoa
10235,Feyenoord
10237,Malmö FF
10240,Hvidovre
10242,Troyes
10243,Zürich
10245,Slovan Liberec
10247,Sparta Praha
10248,Austria Wien II
10249,Montpellier
10250,Raith Rovers
10251,Hibernian
10252,Aston Villa
10253,Stevenage
10254,Tamworth
10260,Manchester United
10261,Newcastle United
10262,Newport County
10264,Sporting Braga
10267,Valencia
10268,Elche
10269,Stuttgart
10271,Dinamo Bucureşti
10272,Atlético Mineiro
10273,Athletico Paranaense
10274,Juventude
10276,Vasco da Gama
10277,São Paulo
10278,Hércules
10279,Castellón
10280,América de Cali
10281,Real Valladolid
10283,Palmeiras
10284,Kidderminster Harriers
45228,Vukovar
45723,Fleetwood Town
45724,Chelmsford City
45725,Maidenhead United
45729,Bromley
45731,King's Lynn Town
46038,Jeonbuk Motors
46475,Montana
47207,Concarneau
47211,Orléans
47214,Dunkerque
47403,Brattvåg
49559,Ñublense
49578,Tallinna Kalev
49615,Yokohama
49678,Blooming
49681,Carabobo
49682,Portuguesa
49683,Monagas
49687,Sportivo Luqueño
49688,2 de Mayo
49689,Nacional Asunción
49694,Baltika
49720,Aurora
49726,Herediano
49728,San Carlos
49730,Pérez Zeledón
49732,Cartaginés
51442,Henan
51443,Zhejiang Professional
56453,Toronto
59844,Sportivo Trinidense
62337,Wexford
73158,Utsikten
77755,Bangor
78785,Wellington Phoenix
80619,Bregenz
80654,Asteras Tripolis
88517,Suwon Bluewings
88657,Dukla Praha
88885,FSV Frankfurt
88998,Sorrento
89022,Universitatea Cluj
89338,Havelse
89466,Motor Lublin
89753,Hapoel Ramat Gan
91431,Sevilla Atlético
92630,Seoul
93061,Estudiantes de Mérida
94935,SGV Freiberg
94937,Heidenheim
94938,Astoria Walldorf
94940,Hoffenheim II
94941,Sonnenhof Großaspach
95039,Bayern Alzenau
95047,Bonner SC
95052,Fortuna Düsseldorf II
95103,Sportfreunde Lotte
95106,Wiedenbrück
95745,Pendikspor
95749,Hatayspor
96498,Amed SK
96925,Huesca
96953,Francs Borains
101911,Al Hazem
101915,Al Ettifaq
101916,Al Shabab
101918,Al Nassr
101919,Al Qadisiyah
102032,CODM Meknès
102033,Difaâ El Jadida
102035,FAR Rabat
102036,FUS Rabat
102037,Hassania Agadir
102042,Kawkab Marrakech
102043,Maghreb Fès
102047,Olympic Safi
102049,Raja Casablanca
102050,Wydad Casablanca
102097,Golden Arrows
102099,Siwelele Football Club
102100,AmaZulu
102102,Club Africain
102104,Olympique Béja
102105,Marsa
102106,CS Sfaxien
102107,CA Bizertin
102109,Monastir
102112,Zarzis
102116,Stade Tunisien
103598,DAC
104814,Panserraikos
104821,CRB
104822,Avaí
105552,Hampton & Richmond
105554,Horsham
106189,Artis Brno
106560,İstanbulspor
109373,Pohang Steelers
109377,Jeonnam Dragons
109705,Red Bull Bragantino
109706,Vila Nova
111120,Sollentuna
112484,Nõmme Kalju
112688,Consadole Sapporo
113054,Técnico Universitario
114830,Guabirá
130394,Seattle Sounders
132215,Sparta Praha II
132286,Orenburg
133895,Incheon United
133896,Ulsan Hyundai
133897,Daegu
133898,Jeju SK
133899,Gyeongnam
133900,Daejeon Citizen
133901,Gimcheon Sangmu
143833,Karviná
145007,Vicenza
145016,Pontedera
145498,Balingen
146408,Vanspor FK
148967,Cerro Largo
149408,RFC Seraing
149599,Durban City
149600,Polokwane City
154186,Gagra
157007,Táborsko
158085,Arouca
158316,Sutton United
158319,AFC Wimbledon
158321,Brackley Town
158390,Curzon Ashton
161195,CF Montréal
161694,Villefranche
161730,Defensa y Justicia
161743,Celta Fortuna
161744,Real Sociedad B
161750,Alcorcón
161759,Atlético Madrid B
161771,Villarreal B
161778,Osasuna Promesas
161780,Betis Deportivo
161781,Marbella
161801,Solihull Moors
161803,Eastleigh
161808,Tonbridge Angels
161812,Wealdstone
161813,Dartford
161816,Marine
161824,Buxton
161831,Hemel Hempstead Town
161836,Oxford City
161849,Antequera
162146,Ilves
162162,SJK
162192,Vegalta Sendai
162193,Sagan Tosu
162195,Mito Hollyhock
162196,Roasso Kumamoto
162198,Ehime
162199,Tokushima Vortis
162386,Panetolikos FC
162418,Club Tijuana
